Date,visits_by_day,street_address,city,region,postal_code,iso_country_code,brands
2019-03-17,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-03-18,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-03-19,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-03-20,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-03-21,127,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-03-22,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-03-23,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-03-24,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-03-25,135,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-03-26,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-03-27,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-03-28,135,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-03-29,135,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-03-30,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-03-31,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-04-01,141,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-04-02,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-04-03,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-04-04,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-04-05,141,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-04-06,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-04-07,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-04-08,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-04-09,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-04-10,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-04-11,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-04-12,159,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-04-13,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-04-14,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-04-15,164,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-04-16,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-04-17,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-04-18,164,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-04-19,164,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-04-20,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-04-21,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-04-22,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-04-23,140,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-04-24,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-04-25,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-04-26,140,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-04-27,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-04-28,140,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-04-29,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-04-30,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-05-01,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-05-02,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-05-03,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-05-04,169,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-05-05,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-05-06,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-05-07,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-05-08,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-05-09,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-05-10,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-05-11,159,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-05-12,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-05-13,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-05-14,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-05-15,131,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-05-16,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-05-17,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-05-18,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-05-19,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-05-20,157,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-05-21,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-05-22,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-05-23,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-05-24,157,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-05-25,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-05-26,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-05-27,332,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-05-28,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-05-29,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-05-30,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-05-31,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-06-01,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-06-02,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-06-03,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-06-04,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-06-05,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-06-06,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-06-07,119,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-06-08,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-06-09,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-06-10,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-06-11,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-06-12,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-06-13,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-06-14,263,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-06-15,131,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-06-16,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-06-17,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-06-18,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-06-19,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-06-20,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-06-21,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-06-22,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-06-23,135,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-06-24,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-06-25,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-06-26,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-06-27,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-06-28,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-06-29,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-06-30,301,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-07-01,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-07-02,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-07-03,151,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-07-04,151,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-07-05,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-07-06,151,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-07-07,303,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-07-08,127,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-07-09,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-07-10,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-07-11,127,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-07-12,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-07-13,127,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-07-14,127,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-07-15,129,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-07-16,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-07-17,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-07-18,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-07-19,129,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-07-20,129,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-07-21,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-07-22,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-07-23,141,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-07-24,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-07-25,141,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-07-26,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-07-27,141,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-07-28,141,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-07-29,115,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-07-30,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-07-31,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-08-01,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-08-02,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-08-03,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-08-04,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-08-05,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-08-06,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-08-07,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-08-08,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-08-09,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-08-10,133,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-08-11,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-08-12,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-08-13,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-08-14,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-08-15,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-08-16,153,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-08-17,306,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-08-18,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-08-19,163,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-08-20,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-08-21,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-08-22,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-08-23,327,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-08-24,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-08-25,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-08-26,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-08-27,186,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-08-28,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-08-29,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-08-30,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-08-31,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-09-01,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-09-02,182,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-09-03,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-09-04,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-09-05,182,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-09-06,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-09-07,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-09-08,182,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-09-09,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-09-10,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-09-11,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-09-12,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-09-13,153,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-09-14,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-09-15,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-09-16,160,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-09-17,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-09-18,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-09-19,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-09-20,160,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-09-21,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-09-22,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-09-23,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-09-24,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-09-25,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-09-26,149,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-09-27,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-09-28,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-09-29,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-09-30,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-10-01,160,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-10-02,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-10-03,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-10-04,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-10-05,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-10-06,160,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-10-07,174,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-10-08,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-10-09,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-10-10,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-10-11,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-10-12,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-10-13,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-10-14,128,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-10-15,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-10-16,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-10-17,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-10-18,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-10-19,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-10-20,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-10-21,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-10-22,70,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
